headline,body,location,time_published
Himalaya connects Kathmandu to Kuwait,"Expanding its international footprint and making Kuwait as its eighth international scheduled destination and sixth gulf city, Himalaya Airlines successfully conducted its first scheduled flight to Kuwait on Friday.",Business,"17 Jul, 2022 "
NICCI pays courtesy call to Indian ambassador,The executive committee members of Nepal-India Chamber of Commerce and Industry (NICCI) led by NIC- CI President Shreejana Rana paid courtesy call to newly appointed Ambassador of India to Nepal Naveen Srivastava today.,Business,"16 Jul, 2022 "
World Bank approves $100m to support key reforms for Nepal's GRID,"The World Bank’s board of executive directors has approved a $100 million development policy credit (DPC) to help improve the enabling environment for Nepal’s green, climate-resilient, and inclusive development pathway. This is the first in a programmatic series of three DPCs on Green, Resilient and Inclusive Development (GRID).",Business,"16 Jul, 2022 "
A tumultuous year for Nepse draws to a close,"The country’s sole secondary market ended a volatile fiscal year 2021-22 on a positive note today with the Nepal Stock Exchange (Nepse) index advancing by 7.93 points compared to yesterday’s close to rest at 2,009.46 points.",Business,"16 Jul, 2022 "
"China's economy brakes sharply in Q2, global risks darken outlook","China's economic growth slowed sharply in the second quarter, highlighting the colossal toll on activity from widespread COVID lockdowns and pointing to persistent pressure over coming months from a darkening global outlook.",Business,"15 Jul, 2022 "
Nepal SBI expands,"Nepal SBI Bank Ltd (NSBL) has expanded its network by opening an extension counter at Lumbini Development Trust (LDT) premises, Lumbini.",Business,"15 Jul, 2022 "
"SIC, LGIC to merge",Sagarmatha Insurance Company (SIC) and Lumbini General Insurance Company (LGIC) signed a memorandum of understanding for merger on Thursday.,Business,"15 Jul, 2022 "
Global IME bags Euromoney award,​​​​​​​Global IME Bank Ltd has received the ‘Euromoney Award for Excellence-Nepal Best Bank 2022’ — a coveted award in the global banking industry.,Business,"15 Jul, 2022 "
NC Whip Gautam files candidacy as HoR deputy-speaker,"Nepali Congress Whip Pushpa Bhusal, has registered her candidacy to the post of Deputy Speaker of the House of Representatives from the ruling alliance.",Business,"14 Jul, 2022 "
KBL fixed deposits,"Kumari Bank Ltd (KBL) has announced various fixed deposit schemes that will yield twice, thrice, quadruple and even 10 times the returns.",Business,"14 Jul, 2022 "
Berger Festive Ride 2078 winners,"Berger Paints, a flagship name in decorative paints since last two decades, has announced Arjun Bhatta as the winner of Yamaha FZ 25 bumper prize under ‘Berger Festive Ride 2078’ consumer offer.",Business,"14 Jul, 2022 "
"Govt, World Bank sign $80 million agreement",The government of Nepal and the World Bank signed an agreement equivalent to $80 million (approximately Rs 10 billion) concessional loan for a project to improve the delivery of water and sanitation services and promote integrated water resources management.,Business,"14 Jul, 2022 "
CNI submits suggestions for upcoming Monetary Policy to NRB governor,The Confederation of Nepalese Industries (CNI) has suggested Nepal Rastra Bank (NRB) to focus on capital expansion to productive and priority sectors in the Monetary Policy for next fiscal year 2022-23.,Business,"14 Jul, 2022 "
"RLI, SLI to merge",The 108th board of directors meeting of Reliance Life Insurance (RLI) held on Wednesday has decided to go for merger with Sanima Life Insurance (SLI),Business,"14 Jul, 2022 "
"Export ban not applicable for Nepal, says Indian Ambassador Srivastava","The newly-appointed Indian Ambassador to Nepal Naveen Srivastava has clarified that the export ban imposed by the Indian government on some commodities, including wheat and sugar, is not applicable for Nepal.",Business,"14 Jul, 2022 "
GIMEB interaction,Global IME Bank (GIMEB) organised an interaction programme in London on facility to open foreign currency account and potential for foreign investment in Nepal on Monday.,Business,"13 Jul, 2022 "
CCB-Moco pact,Century Commercial Bank (CCB) has entered into an agreement with Moco Digital Wallet whereby the bank’s Visa debit and credit cardholders will be able to make payments through QR scan.,Business,"13 Jul, 2022 "
Xiaomi's new offer,"Xiaomi Nepal, a global technology leader has announced amazing bundle offer on purchase of any variant of Redmi Note 11, Redmi Note 11 Pro and Redmi Note 11 Pro 5G under the Redmi Note 11 series and Xiaomi 12 and Xiaomi 12X under the Xiaomi 12 series.",Business,"13 Jul, 2022 "
NMB-Flywire pact,NMB Bank Nepal has announced a strategic partnership with Flywire Corporation to digitise the payment experience for Nepali students studying abroad.,Business,"12 Jul, 2022 "
Inflation at nearly six-year high,The year-on-year consumer price inflation (CPI) soared to nearly a six-year high of 8.56 per cent in the 11th month (mid-May to mid-June) of fiscal year 2021-22 compared to 4.19 per cent a year ago,Business,"12 Jul, 2022 "
Nabil completes acquisition of NBB,Nabil Bank has announced the completion of the Nepal Bangladesh Bank (NBB) acquisition process.,Business,"12 Jul, 2022 "
Forex reserves increase by $170m in one month,"Slight improvement in remittance inflow coupled with import restrictions on certain non-essential goods seem to have propped up the country’s foreign exchange reserves, which rose by $170 million in the one-month period between mid-May and mid-June, as per the latest macroeconomic update unveiled by the Nepal Rastra Bank (NRB) on Monday.",Business,"12 Jul, 2022 "
Twitter slides after Musk's $44 bln deal falls apart,Shares of Twitter Inc TWTR.K fell about 6% in premarket trading on Monday as a legal tussle between Elon Musk and the social media company is expected to take center stage after the world's richest person walked away from the $44 billion deal.,Business,"11 Jul, 2022 "
Beko inverter ACs,CG Electronics has unveiled energy-efficient inverter air-conditioners of the European electronics brand Beko in the Nepali market.,Business,"11 Jul, 2022 "
Veggie prices in valley skyrocket,"​​​​​​​Sajan Jaiswal, a student who used to spend Rs 3,000 per month on green vegetables before the coronavirus pandemic struck, now has to expend Rs 5,000.",Business,"10 Jul, 2022 "
Fertilisers shortage dampen joy of farmers,"The favourable monsoon this year is making Raj Man Salaju, a farmer from Thimi, Bhaktapur, all the more miserable thinking of the lost opportunity for a bumper harvest.",Business,"08 Jul, 2022 "
"Nabil, NBB services",Nabil Bank and Nepal Bangladesh Bank have announced that all their banking services are being suspended from Friday till July 10.,Business,"08 Jul, 2022 "
Minister Bhusal urges Indian envoy to focus on PMP,"Newly appointed Ambassador of India to Nepal Naveen Srivastava has paid a courtesy call on Minister for Energy, Water Resources and Irrigation Pampha Bhusal.",Business,"07 Jul, 2022 "
Domestic airlines hike airfare,Operators of domestic airlines have hiked airfare for all sectors after the Nepal Oil Corporation raised the price of aviation turbine fuel for domestic airline companies.,Business,"07 Jul, 2022 "
Samsung Galaxy F13,Samsung has announced the launch of Galaxy F13 in Nepal. The latest addition to the popular Galaxy F series offers unprecedented style and experience to the aspirational Gen Z and millennial consumers while delivering the best of everything.,Business,"06 Jul, 2022 "
Stronger dollar to quicken inflation,"The devaluation of the local currency against the US dollar will exacerbate the woes of an import-based economy of Nepal, with the surge in import bills adding more inflationary pressure, according to experts.",Business,"06 Jul, 2022 "
Import of agro products exceeds export,"The cardamom produced in Nepal is exported to India, Bangladesh and Russia, according to senior agronomist Devindra Shahu.",Business,"05 Jul, 2022 "
NIBL Ace offer,NIBL Ace Capital Ltd had launched various attractive schemes on the occasion of Nepali New Year 2079 BS.,Business,"05 Jul, 2022 "
NOC hikes price of petroleum products,Nepal Oil Corporation (NOC) has increased the price of petroleum products effective from tonight.,Business,"04 Jul, 2022 "
"Country needs a tourism university, says Dahal",Former prime minister and Chairman of CPN-Maoist (Centre) Puspa Kamal Dahal ‘Prachanda’ has said he is committed to establishing a tourism university in Nepal.,Business,"03 Jul, 2022 "
"Gold, silver prices drop",The price of precious metals declined in the trading week between June 26 and July 1.,Business,"03 Jul, 2022 "
Nepse surges nearly nine per cent,"The annual trend of share market rallying towards the end of the fiscal year could again be witnessed in the trading period between June 26 and July 1, with the Nepal Stock Exchange (Nepse) index surging by 166.71 points or 8.9 per cent week-onweek.",Business,"03 Jul, 2022 "
One year of 'Nabil Sustainable Banking',"Nabil Bank, Nepal’s leading private sector bank, has marked its one year in sustainable banking practice, which was launched on National Paddy Day, on Asar 15, 2078 BS or June 29, 2021.",Business,"02 Jul, 2022 "
